genre,x,y,hex_colour
egyptian hip hop,1011,10498,#998d13
egyptian pop,845,13497,#a78206
egyptian traditional,843,4902,#7c8270
el paso indie,355,11228,#b77546
electra,909,15369,#9b9093
electric bass,821,5716,#648e73
electric blues,895,5831,#827e21
electro,1156,17430,#b0795b
electro bailando,1085,17227,#c7860b
electro dub,1009,17264,#a49071
electro house,864,17709,#cf7c51
electro jazz,1016,16784,#a48b77
electro latino,1060,17721,#cc8120
electro swing,1118,17100,#b38252
electro trash,945,17807,#c4777c
electro-industrial,633,18111,#cf6c69
electro-pop francais,870,14812,#959434
electroacoustic composition,373,3726,#536779
electroacoustic improvisation,385,5420,#597781
electroclash,921,17820,#b8835b
electrofox,853,17721,#b9824f
electronic djent,290,15659,#c7708c
electronic rock,607,17504,#bf794c
electronic trap,826,16860,#ce7f41
electronica,855,16013,#9f8a7e
electronica argentina,729,14080,#9b8d3c
electronica chilena,1098,17265,#a88998
electronica cristiana,758,17289,#be863b
electronica peruana,1369,18920,#be89aa
electronica venezuela,1396,19401,#c788c2
electronicore,219,15861,#e1571a
electropop,758,15809,#aa8922
electropowerpop,554,17024,#c8720e
elektropunk,947,17467,#b38032
elephant 6,454,8260,#938447
eletronica underground brasileira,1167,17943,#ad8bc6
emo,322,12992,#c66b1c
emo mexicano,345,14264,#c86f1d
emo punk,334,11007,#bc7029
emo rap,847,14232,#909614
emo rap italiano,836,13978,#a7910a
emocore,389,10712,#c66146
emoviolence,155,9439,#d24984
english baroque,399,1620,#28a159
english indie rock,385,14794,#bb7816
english renaissance,334,836,#1fa66a
enka,436,6574,#699d0f
ensemble stars,423,17075,#e06900
entehno,607,6053,#739514
environmental,52,4573,#b300c6
epic black metal,64,12159,#c55597
epic doom,141,9791,#b87035
epicore,297,10035,#7688c1
er ge,990,8838,#659636
erhu,275,2955,#3eab72
eritrean pop,855,10712,#a48716
erotica,636,9163,#539ebb
escape room,860,13608,#a5852f
esperanto,793,10293,#888d12
essex indie,502,12760,#9f802d
estonian electronic,1005,17176,#a78fa7
estonian folk,627,6633,#6e9d32
estonian hip hop,980,14045,#ab871b
estonian indie,474,10503,#8e8c57
estonian jazz,697,5231,#579c70
estonian metal,284,15215,#da5c64
estonian pop,703,13571,#a1872e
estonian rock,459,8581,#8f8316
ethereal gothic,431,13720,#998856
ethereal wave,290,10219,#858b68
etherpop,506,10231,#839238
ethio-jazz,783,7953,#948672
ethiopian pop,838,10761,#9b8813
ethiopian traditional,868,2715,#479532
ethnomusicology,923,3640,#58824d
ethnotronica,1296,18362,#9e9ac1
eugene indie,500,10057,#a67927
euphonium,421,787,#19acdb
euphoric hardstyle,508,17378,#e26d3a
euro hi-nrg,905,18731,#dc7638
eurobeat,559,17820,#d4792f
eurodance,913,18274,#d37830
europop,763,16316,#b88016
euroska,870,14164,#c67713
eurovision,670,14544,#ab870b
euskal indie,533,13734,#a7861f
euskal metal,286,14694,#dc5937
euskal musica,543,8102,#829112
euskal rock,529,11718,#ad7c12
eventyr,1274,5926,#4a7c04
exotica,586,4612,#608d77
experimental,545,6969,#817964
experimental ambient,293,6077,#5396bf
experimental bass,978,15686,#b58061
experimental big band,547,5444,#6d8065
experimental black metal,141,9852,#be5088
experimental classical,258,2943,#2da1b2
experimental club,876,15317,#b37b92
experimental dub,1035,16367,#988781
experimental dubstep,1071,18188,#bd8293
experimental electronic,716,12539,#958897
experimental folk,363,5945,#5d9872
experimental guitar,566,4827,#5d8baa
experimental hip hop,753,10649,#a47b3a
experimental house,1078,17682,#ae8cb7
experimental indie,667,8752,#89865b
experimental indie rock,495,8126,#a3735f
experimental jazz,586,8372,#888696
experimental percussion,561,5968,#6c7b91
experimental poetry,972,4384,#447026
experimental pop,520,9360,#8f845c
experimental psych,292,5994,#7c7e9c
experimental r&b,744,11166,#859139
experimental rock,463,7856,#986b68
experimental synth,405,7559,#6891b7
experimental techno,978,17403,#b388c4
experimental vocal,495,5992,#5e8a2f
fado,726,3638,#539f12
fado antigo,734,2007,#41a212
fado de coimbra,697,1855,#40a311
fado instrumental,753,4510,#68a292
fake,919,14597,#8d915d
fallen angel,219,14732,#c77225
family gospel,547,7449,#779109
fan chant,425,3069,#b14376
faroese folk,594,4839,#489c31
faroese indie,515,7991,#6e981a
faroese jazz,664,5545,#60917e
faroese pop,564,8286,#729518
faroese rock,320,14141,#c66948
fast melodic punk,307,13102,#e55219
festigal,615,13559,#b38402
fidget house,1118,18115,#c67974
field recording,278,4611,#5a5d99
fife and drum,1080,8501,#785ebf
fijian pop,963,13704,#948d12
filmi,772,6324,#89861a
filter house,976,17868,#be8063
filthstep,758,16898,#d17c5c
final fantasy,373,8667,#6995b6
fingerstyle,885,4409,#4da7af
finlandssvenska musik,610,10810,#918f0b
finnish alternative rock,341,15178,#c3721b
finnish black metal,39,10859,#d43b95
finnish blues,627,9472,#a3811e
finnish choir,163,481,#25993d
finnish classical,193,579,#1c9d98
finnish contemporary classical,190,945,#1e9880
finnish dance pop,770,14850,#b28205
finnish death metal,127,14374,#e15765
finnish doom metal,127,11081,#b17470
finnish edm,797,18377,#ce828c
finnish electro,806,16872,#a9877e
finnish electronic,955,16481,#a68ab1
finnish experimental,536,8446,#6d8ead
finnish folk,520,6041,#6b9a31
finnish hard rock,276,15356,#d76217
finnish hardcore,252,10194,#e3472b
finnish heavy metal,234,15507,#d86328
finnish hip hop,1009,14690,#b08208
finnish idol pop,508,12086,#998c04
finnish indie,581,11374,#9a8646
finnish jazz,664,6053,#728f7e
finnish melodeath,134,15394,#de5d56
finnish metal,193,15052,#d76242
finnish metalcore,186,16847,#e95737
finnish modern jazz,655,5942,#6c947c
finnish new wave,540,11142,#c26e17
finnish pop,660,13362,#a38607
finnish pop punk,330,13882,#dc6209
finnish post-punk,307,12821,#c56944
finnish power metal,212,15737,#d36921
finnish progressive metal,188,14669,#d66541
finnish progressive rock,405,8273,#9d8157
finnish psychedelic rock,241,9299,#a97a7b
finnish punk,332,11265,#d8591a
finnish reggae,1131,15117,#a08d11
finnish rockabilly,692,10429,#c27416
finnish soul,763,11043,#968612
finnish tango,552,5041,#5d9706
finnish techno,1076,18163,#b285cf
finnish trap,1082,16266,#9d9408
finnish worship,596,11668,#8c8d0c
firenze indie,491,11521,#b17d2f
fisarmonica,1020,8912,#889879
flamenco,897,3942,#6f8d37
flamenco fusion,959,11850,#b87c0a
flamenco guitar,937,3752,#7392b4
flamenco urbano,1022,13510,#b98603
flemish folk,726,8125,#7a9329
flick hop,921,11800,#bd7111
flint hip hop,1065,14220,#a58c05
float house,1147,17955,#a88dbc
florida death metal,179,9476,#e6386f
florida hardcore,265,9746,#e84c36
florida rap,1129,14690,#9a9202
flute rock,429,7782,#888444
fluxwork,726,12834,#8f8f92
fo jing,371,6752,#53a83c
focus,838,3524,#29afd6
focus beats,1030,8900,#5c99b1
focus trance,1232,19249,#b696d5
folclor afrocolombiano,1098,9153,#a98810
folclor colombiano,1085,8701,#8c9521
folclore castilla y leon,808,5793,#719425
folclore extremeno,893,7784,#858615
folclore jujeno,935,6214,#789515
folclore navarra,808,3032,#52961a
folclore portugues,788,8462,#848d14
folclore salteno,974,5620,#748f0d
folclore santiagueno,963,7079,#858d07
folclore tucumano,911,4246,#5b9d0c
folk,763,5793,#65910f
folk black metal,115,12208,#cc5b6e
folk brasileiro,670,8917,#749a0c
folk cantabria,646,5819,#788d18
folk metal,193,14460,#d66044
folk metal latinoamericano,241,11854,#ce6735
folk punk,552,8728,#a37a0d
folk rock,694,6671,#838410
folk rock italiano,719,7152,#86890b
folk siciliana,774,8249,#74941b
folk-pop,591,10119,#86910a
folklore argentino,959,5284,#6c9419
folklore boliviano,903,8329,#9c8610
folklore chileno,913,6843,#7d8a0d
folklore cuyano,1014,5433,#6e973b
folklore ecuatoriano,1135,5875,#699a21
folklore nuevo argentino,895,7123,#7e9415
folklore panameno,949,6534,#a88017
folklore paraguayo,905,7485,#978f22
folklore peruano,963,6868,#8e8e0f
folklore quebecois,1045,5546,#918d3a
folklore surero,1082,2209,#509d2a
folklore uruguayo,980,4511,#779009
folklore venezolano,949,5744,#a0890c
folklore veracruzano,986,5794,#9a8b14
folkmusik,571,4788,#579d2f
folktronica,639,9648,#7d9168
football,480,5698,#ac4e66
footwork,1138,17480,#b08886
forest psy,986,19135,#e483bb
forro,945,11925,#c08605
forro de favela,917,12164,#b39100
forro gospel,885,12873,#c18407
forro instrumental,864,10133,#af8437
forro manauara,1156,9479,#b58d01
forro tradicional,903,10096,#af8112
fort wayne indie,461,10712,#a77b3a
fort worth indie,423,12477,#a47e47
fourth world,367,6018,#5294ae
franco-flemish school,152,615,#23a64e
francoton,849,12389,#af8405
frankfurt electronic,1243,19021,#b989c0
frankfurt indie,397,14039,#c17227
frauenrap,1120,13945,#9a9313
freak folk,440,7734,#828759
freakbeat,591,8433,#a27520
free folk,336,4535,#6e828e
free improvisation,677,3726,#52886d
free jazz,763,3487,#598f5a
freestyle,988,17517,#b38026
fremantle indie,610,12588,#a18421
french baroque,334,1995,#2b9f6b
french black metal,45,10761,#cd438f
french classical piano,500,364,#1ba3d7
french contemporary classical,292,1632,#258f88
french death metal,170,11939,#e14c76
french dnb,947,17770,#d4869e
french dub,1009,17188,#a48f69
french experimental rock,478,8175,#9a7c6a
french folk,806,4347,#559914
french folk pop,868,10108,#98850d
french garage rock,324,12697,#cb654b
french hardcore,212,12747,#e84e37
french hip hop,1061,10705,#b08607
french indie folk,674,8966,#769530
french indie pop,756,13236,#928f32
french indietronica,797,14939,#99914f
french jazz,982,3448,#588f93
french metal,217,13126,#d45959
french movie tunes,851,6227,#6e8b13
french oi,397,13612,#dc561d
french opera,361,1141,#2c9859
french orchestra,322,1547,#319180
french pop,763,7967,#828d08
french post-punk,596,15470,#b67d5c
french post-rock,265,11118,#908bb1
french psychedelic,482,13473,#a48a62
french punk,429,14215,#d85d17
french reggae,984,12312,#ac820d
french renaissance,347,1166,#26a362
french rock,823,9225,#8a8612
french romanticism,299,677,#269c7d
french shoegaze,181,12097,#988885
french soundtrack,355,4662,#419ea5
french stoner rock,206,10515,#bb726a
french synthpop,589,14976,#9f8d47
french tech house,1413,19464,#bd8abc
french techno,1227,19009,#bc89c7
french worship,547,7437,#779215
frenchcore,550,17164,#ef5743
frevo,836,8187,#9a743e
friese muziek,721,9312,#8d890d
fuji,1104,9141,#ce690f
full on,1016,19009,#e37ab9
funana,1104,16443,#b78616
funeral doom,193,10393,#a4797b
funk,885,9200,#947b20
funk 150 bpm,1296,13257,#be7a05
funk bh,1267,10496,#919801
funk capixaba,1277,12929,#c28206
funk carioca,1095,12671,#b98404
funk consciente,1288,12827,#a19101
funk das antigas,1163,16680,#c5750c
funk evangelico,1061,14791,#b58206
funk melody,1060,17151,#c17d08
funk metal,493,13511,#cc6320
funk mexicano,911,15785,#ba7d51
funk ostentacao,1239,13380,#ae8303
funk paulista,1293,12815,#a09402
funk pop,1170,15545,#bc8602
funk rock,770,13448,#ba6726
funky breaks,1167,18274,#c57b72
funky house,1263,18996,#cc797d
funky tech house,1269,19173,#d67995
fussball,533,13771,#c8652e
future ambient,939,16493,#9490a6
future bass,700,14584,#ae8b4b
future funk,847,16898,#b37d68
future garage,988,17049,#ac8b98
future house,882,17644,#d77c46
future rock,391,17442,#d87066
futurepop,680,18263,#cc775a
futuristic swag,1048,16076,#a68a01
g funk,1183,15457,#ab7b05
g-house,1091,17391,#b38a3f
gabba,571,17403,#e4584f
gabonese pop,1020,12376,#aa8816
gaian doom,170,9336,#a37868
gainesville indie,438,10255,#a57d31
gaita,267,9226,#8e8d61
gaita zuliana,1052,9479,#bf740d
galante era,397,1426,#26a263
galego,538,8335,#908a22
galician folk,442,7645,#7f943b
galician indie,561,11583,#9d8a1c
galician jazz,660,5419,#5b9a80
galician rock,467,13784,#cc6518
galway indie,538,8041,#7e8e28
gambian pop,1089,10843,#a68c0f
gamecore,810,16518,#b6867c
gamelan,793,4624,#4fa493
gaming dubstep,788,16291,#dd7943
gaming edm,680,17062,#c5864d
gangster rap,1111,14704,#ac7d05
garage house,1236,18832,#c27b72
garage pop,297,10010,#cf5752
garage psych,363,10466,#ad7760
garage punk,224,11289,#db4b45
garage punk blues,700,8624,#b46343
garage rock,371,11081,#c7632f
garage rock mexicano,343,14496,#cd6939
garage rock revival,353,12074,#c96621
garhwali pop,929,9101,#a48208
garifuna folk,925,10523,#ab7d13
gauze pop,683,14236,#989143
gay chorus,241,1400,#42852f
gayageum,1213,2209,#28a399
gbvfi,393,9814,#ac7244
geek folk,788,6288,#6c9112
geek rock,858,11007,#927e0d
gengetone,1095,11975,#ab8d05
georgian alternative,872,12797,#86915f
georgian electronic,1149,17783,#a291cf
georgian folk,263,1226,#3ea02c
georgian polyphony,181,364,#31a526
georgian pop,692,9077,#889021
german alternative rap,1041,10881,#aa8312
german alternative rock,431,15393,#c67016
german baroque,399,1718,#2ca483
german black metal,79,10381,#c84c7b
german blues,817,8843,#938422
german boom bap,1126,11516,#9b7f2f
german ccm,660,9509,#7d8d17
german choir,273,994,#2e981c
german classical piano,636,812,#21a1c8
german cloud rap,1024,14120,#94960e
german contemporary classical,363,1515,#1e9067
german country,774,11423,#a0841d
german dance,917,17931,#ca7f2b
german dark minimal techno,1120,19262,#c184d6
german death metal,182,13796,#e64571
german dnb,993,18236,#da84a9
german drill,1091,12350,#a78c16
german electronica,945,15622,#8992ad
german grindcore,215,12564,#e93a77
german hard rock,276,13744,#cf6420
german hardcore,373,13249,#e45a2b
german heavy metal,258,14964,#d95e17
german hip hop,1041,11019,#a88b13
german house,1251,18584,#a7949b
german indie,670,12904,#a18420
german indie folk,694,8930,#789612
german indie pop,770,14825,#9d8c2d
german indie rock,467,13992,#af7e25
german jazz,739,4397,#589691
german jazz rap,1093,10182,#9c8029
german literature,1371,5105,#417100
german melodeath,161,14398,#e2504d
german metal,252,14607,#d85927
german metalcore,190,15608,#e5522b
german oi,369,12685,#df590b
german opera,284,505,#318f3b
german orchestra,301,970,#2f9687
german pagan metal,154,14720,#de5561
german pop,763,13547,#a6830c
german pop rock,524,15229,#ac840f
german post-hardcore,204,16721,#e35c11
german post-punk,391,13732,#be714b
german post-rock,457,12135,#918dc3
german power metal,202,15103,#dc561b
german prog,379,10194,#968669
german punk,440,12711,#d45d15
german punk rock,415,14532,#d0660e
german r&b,997,13716,#8f940e
german reggae,1102,13422,#a6870e
german renaissance,245,824,#1da458
german rock,610,12389,#b2730f
german rockabilly,741,9961,#c76d13
german romanticism,375,517,#219f9e
german shoegaze,219,12418,#a37f70
german show tunes,533,6486,#798b0e
german singer-songwriter,758,9936,#829309
german ska,741,14336,#cb720f
german soundtrack,258,6507,#439cc7
german stoner rock,252,9373,#b67363
german street punk,379,11142,#d95c11
german tech house,1424,19414,#b093c9
german techno,1054,18312,#be8489
german thrash metal,212,13323,#ec433d
german trance,841,18225,#cb7e8d
german trap,1054,14424,#96980e
german underground rap,1067,11148,#ac8715
german viral rap,1126,12620,#91900c
german worship,758,9065,#808a0b
ghanaian alternative,1073,10462,#a18c18
ghanaian gospel,801,12207,#af8805
ghanaian hip hop,1117,12900,#b58605
ghanaian pop,1117,13049,#af8b0c
ghanaian traditional,1204,5344,#7a6f71
ghazal,677,4940,#788b21
ghent indie,618,11093,#8c8d43
ghettotech,1260,18127,#b4816d
ghoststep,1087,17943,#b18ba7
girl group,909,17302,#b77f0a
glam metal,295,12772,#ce6016
glam punk,275,12208,#d75318
glam rock,522,9900,#ac7019
glasgow indie,383,13523,#af7c2e
glass,314,2260,#1db384
glee club,591,11484,#8c8b1d
glitch,655,10560,#7d819d
glitch beats,905,15015,#9987a8
glitch hop,899,16165,#b18479
glitch pop,770,13115,#91887b
glitchcore,744,15229,#a1911e
glitter trance,915,18491,#be87b9
gnawa,963,7980,#a6792e
go-go,999,13185,#c46d20
goa psytrance,1071,19236,#de84cb
goa trance,866,18882,#dd7cbd
gochiusa,689,16417,#b58547
golden age hip hop,1197,16013,#b06b0e
goralski,777,8777,#839205
goregrind,150,10023,#e4328b
gospel,547,6993,#828206
gospel antigas,557,9017,#879415
gospel blues,1003,2046,#528b1c
gospel drill,1135,12697,#979007
gospel italiano,328,7734,#6a9a22
gospel r&b,683,11005,#988407
gospel rap,1026,13061,#b37e0c
gospel reggae,976,13952,#a38b08
gospel singers,655,4232,#6a810f
gospel soul,664,6017,#807c0b
gothabilly,341,12797,#ca6035
gothenburg hip hop,1052,11172,#a38a08
gothenburg indie,478,10280,#948b39
gothenburg metal,193,14263,#de5456
gothic alternative,314,15749,#d16b11
gothic americana,506,7979,#928226
gothic black metal,168,13624,#d45e5d
gothic doom,293,12636,#b67965
gothic metal,208,13919,#c27236
gothic post-punk,444,14203,#b1775c
gothic rock,357,13649,#b86c3d
gothic symphonic metal,226,14301,#c27329
gotico brasileiro,429,16026,#c0775b
gotlandsk musik,566,6670,#729124
gqom,1230,18186,#c18e4e
granada indie,417,13213,#b0802c
grand rapids indie,511,9833,#a57d2c
grave wave,474,14825,#a9807c
graz indie,602,13411,#a18616
grebo,429,15330,#c5672b
greek black metal,85,12221,#d8487e
greek clarinet,495,5832,#7e9646
greek contemporary classical,489,3790,#4e9974
greek downtempo,935,16809,#9b8e95
greek drill,1071,13321,#9f961a
greek folk,736,5358,#689c56
greek guitar,589,5460,#679749
greek hip hop,1041,14741,#b18116
greek house,1257,18743,#b090bc
greek indie,624,9213,#838f25
greek indie rock,508,13536,#a2856a
greek jazz,621,5606,#5a9d9a
greek metal,215,14154,#d75d4e
greek pop,734,9974,#998b04
greek psychedelic rock,336,10430,#aa7c51
greek punk,336,14052,#d76435
greek rock,371,14252,#b57a32
greek swing,817,8500,#7e932b
greek techno,1190,18820,#bc8dd4
greek trap,1013,14070,#a59104
greek underground rap,1013,12114,#af8111
greenlandic pop,615,12808,#928e19
gregorian chant,132,1363,#1ead32
grim death metal,241,9913,#dc4a99
grime,990,13791,#be7d13
grime brasileiro,1041,11122,#9e8c18
grimewave,970,16518,#b38291
grindcore,115,9718,#e62888
griot,1003,8639,#9b8a2c
grisly death metal,145,12270,#e9418b
groove gospel,554,10859,#938c20
groove metal,263,12122,#e74934
groove room,1255,18808,#b88b7a
grunge,284,9901,#c4623d
grunge argentina,301,14484,#c66e19
grunge brasileiro,429,14669,#c6723c
grunge pop,393,15128,#c07518
grunge revival,261,13720,#c46b2d
grunneger muziek,731,9723,#81900c
grupera,915,11260,#9a9005
gruperas inmortales,992,9553,#a19106
guadalajara indie,700,14150,#a48631
guam indie,849,9924,#858d52
guaracha,1225,18237,#ca7e76
guatemalan indie,618,11558,#958e2a
guatemalan metal,219,11326,#cf5950
guatemalan pop,978,13436,#a98c0f
guggenmusik,559,6891,#d83699
guidance,1162,5900,#48691d
guided meditation,159,3057,#2b7bb1
guinean pop,995,10980,#b6870e
guitar case,596,12770,#938e18
guitarra argentina,1080,1552,#3ba794
guitarra clasica,937,630,#21aadb
guitarra portuguesa,838,3678,#66a38e
gujarati garba,726,7126,#a47f07
gujarati pop,765,8016,#a08206
gulf hip hop,935,11888,#988717
gumbe,1045,12620,#ab8816
gundam,448,12123,#93884c
guqin,961,541,#1d9a87
guzheng,845,945,#36a7ad
gwoka,1028,8341,#af7233
gyerekdalok,984,8550,#659607
gymcore,269,16569,#d8690d
gypsy,627,4510,#6e9459
gypsy fusion,919,13015,#ab8443
gypsy jazz,1117,3259,#598fa2
gypsy punk,729,11913,#b07926
h8000,305,9772,#d45e3d
haitian dance,964,13124,#b37e18
haitian gospel,599,9808,#978a0b
haitian traditional,997,4131,#6b8a79
hakkapop,716,10474,#78920c
halftime dnb,978,16430,#bc8581
halifax indie,511,11240,#a78028
halloween,399,8655,#686d87
hamburg electronic,1170,18522,#ba869b
hamburg hip hop,1060,11938,#aa821b
hamburg indie,552,12208,#a2841a
hamburger schule,610,12735,#a7811a
hamilton on indie,566,11852,#9f812b
hammered dulcimer,692,5655,#5ea6a0
hammond organ,880,6803,#818679
hampton roads indie,440,10560,#a68225
handbells,250,3195,#29a77c
hands up,870,18402,#df6f35
hangoskonyvek,1250,4181,#346e0c
hangpan,868,4889,#49a8c0
happy hardcore,667,17896,#e36552
hard alternative,263,15787,#d36a0e
hard bass,1104,18299,#e56573
hard bop,895,3158,#569265
hard chime,407,12625,#af7c19
hard dance,736,18819,#f15bb6
hard glam,290,14325,#d65f1b
hard house,1005,18971,#ea64aa
hard minimal techno,1479,19122,#b88dc5
hard motivation,992,6929,#8a790b
hard rock,347,10845,#c56221
hard rock brasileiro,476,13151,#d66210
hard rock mexicano,328,14064,#c66e1b
hard stoner rock,301,10503,#c26f40
hard techno,1140,19224,#cd83d6
hard trance,847,18667,#e26a9e
hardcore,322,10823,#e54e26
hardcore breaks,961,18163,#d37988
hardcore hip hop,1087,11752,#b3720d
hardcore punk,280,10096,#de472c
hardcore punk espanol,328,9686,#e84820
hardcore techno,751,17927,#dd6565
hardingfele,314,2209,#42ac69
hardstyle,444,17252,#e7672d
hardvapour,504,10181,#8c84a8
harlem hip hop,1037,11224,#b77309
harlem renaissance,976,2071,#468b4d
harmonica blues,947,5360,#827b1e
harmonica jazz,889,4358,#5b9858
harmonikka,741,5593,#579d5b
harp,770,2841,#3ca9a3
harpsichord,393,3018,#409e78
haryanvi pop,1118,16392,#c88501
hauntology,411,7633,#7582a5
haur kantak,1020,8513,#878808
hawaiian,689,5868,#5ba137
hawaiian hip hop,1073,11384,#9d8904
hawaiian indie,624,12037,#9f8033
hawaiian punk,401,9275,#cb5527
healing,202,5597,#7544a1
heartland rock,517,9858,#a7790f
heavy alternative,267,16342,#d46d0b
heavy gothic rock,318,14732,#ba7739
heavy psych,197,9463,#b67482
hengelliset laulut,311,1668,#2fa541
hi-nrg,901,17542,#bd7723
hi-tech,810,18832,#e877b9
highlife,1054,9202,#ad811e
himachali pop,855,12281,#b77704
himalayan folk,557,4815,#4fa34e
himene tarava,395,1490,#57691b
hindi hip hop,1106,15608,#b4820e
hindi indie,639,12723,#959125
hindi worship,543,9845,#869416
hindustani classical,571,3549,#6e8d65
hindustani instrumental,736,3475,#708d90
hindustani vocal,454,3271,#658f3c
hinos ccb,683,4878,#469f18
hip hop,1074,13902,#ac7d0b
hip hop boliviano,1045,13397,#948f10
hip hop cubano,1087,9266,#ab7d06
hip hop galsen,1095,11553,#b28303
hip hop quebecois,1033,11602,#aa8606
hip hop tuga,1056,11056,#a38513
hip house,1082,18274,#c6783d
hip pop,1001,15091,#a58406
hip-hop experimental,972,14474,#a18256
hiplife,1106,14717,#b88411
histoire pour enfants,1153,5673,#568608
historic classical performance,790,516,#24a3ae
historic orchestral performance,271,713,#329195
historic piano performance,467,200,#20a0cb
historic string quartet,363,377,#25a887
historical keyboard,513,1552,#399aa5
historically informed performance,393,1931,#29a049
hjemmesnekk,1095,15861,#b0871e
hmong pop,860,14750,#9e9434
hoerspiel,1296,5723,#656501
hokkaido indie,467,14939,#c47217
hokkien pop,524,9172,#759c03
hollywood,504,4611,#598e2b
honeyworks,474,17618,#d9721e
hong kong hip hop,978,14634,#a78421
hong kong indie,566,11055,#8f891d
hong kong rock,493,12919,#a87b13
hong kong tv drama,692,12232,#8d8f05
honky tonk,862,4990,#5a9105
honky-tonk piano,966,6351,#7d91ac
hopebeat,497,15571,#ac880c
horror punk,303,12147,#d9521f
horror punk brasileiro,288,13261,#e74f23
horror synth,369,10035,#6c95b9
horrorcore,984,14504,#b8770f
house,1096,18473,#cc7e6d
house argentino,1394,19363,#b68fd1
houston indie,411,10120,#a1823c
houston rap,1091,13815,#a08504
huapango,1120,10592,#af8829
huayno,966,7176,#9c8e0f
huayno popular,937,8611,#c18b03
hula,832,2841,#469641
hull indie,448,11876,#b0772a
humppa,864,8224,#8f8005
hungarian black metal,99,12588,#cf4e96
hungarian choir,224,1173,#299233
hungarian classical performance,326,774,#1ea6ae
hungarian classical piano,536,237,#1ca6db
hungarian contemporary classical,389,1202,#1c9d86
hungarian edm,1329,18668,#ba89a0
hungarian folk,793,8175,#7c8f22
hungarian hip hop,1076,10781,#bb7a09
hungarian indie,480,13387,#b1812f
hungarian metal,305,15052,#db5c2b
hungarian pop,828,14762,#b97d08
hungarian punk,469,14951,#db5b19
hungarian rock,529,14322,#c56e17
hungarian techno,1351,19086,#bc84c6
hungarian underground rap,1098,11950,#af7c25
hurdy-gurdy,349,11106,#ab7735
huzunlu sarkilar,821,8765,#649b15
hyperpop,838,15153,#a58847
hyphy,1098,13790,#ab8003
hypnosis,316,2678,#219466
hypnosis mic,959,13608,#c26a10
icelandic black metal,64,11805,#c25c97
icelandic choir,328,2791,#409618
icelandic classical,282,2892,#29a0a8
icelandic electronic,841,15659,#929190
icelandic experimental,320,7584,#5e9472
icelandic folk,664,6892,#659a28
icelandic hip hop,1048,15289,#9e8916
icelandic indie,520,7893,#739444
icelandic jazz,779,5395,#4d9c99
icelandic metal,166,11619,#c95c64
icelandic pop,716,10355,#848d1b
icelandic rock,529,10243,#998129
icelandic singer-songwriter,584,7412,#739119
icelandic traditional,547,3879,#409e37
idaho hip hop,1047,11714,#998a06
idaho indie,417,9348,#9b8437
idol,552,12293,#988d0d
idol game,349,17656,#e76731
idol kayo,734,13325,#9e860e
idol rock,369,17125,#e26322
igbo traditional,1136,8052,#ba8124
igbo worship,966,10993,#ad8724
ilahiler,571,5868,#6c9111
illbient,779,13362,#928298
ilocano pop,748,8388,#68970e
impressionism,369,389,#16a2be
indian ambient,311,9140,#6b9dc6
indian classical,680,3221,#778a44
indian edm,941,17580,#be8a6d
indian electronic,1001,16240,#a3919a
indian folk,758,11472,#9f8416
indian fusion,760,8789,#9c8236
indian indie,719,12049,#928f36
indian instrumental,777,8310,#8f8742
indian instrumental rock,328,9649,#948c94
indian jazz,765,5967,#84888d
indian lo-fi,826,9949,#6c9b6e
indian metal,226,13931,#dd5559
indian percussion,1043,7624,#a17476
indian rock,677,13472,#a3833a
indian singer-songwriter,694,9102,#6e9c13
indian techno,1276,18984,#b88fcc
indian underground rap,1113,12014,#91940b
indian violin,760,3463,#848878
indiana hip hop,1005,12936,#9f8c07
indiana indie,497,9509,#9f8336
indie anthem-folk,531,7770,#71980f
indie arequipeno,533,13053,#b57a33
indie boliviano,748,13778,#9a8c3e
indie cafe pop,660,8675,#749a08
indie campechano,739,14055,#aa8339
indie canario,574,11595,#a48028
indie cantabria,531,13685,#bb7731
indie catala,655,10572,#94891d
indie catracho,779,12809,#9b8d44
indie cordoba,751,10417,#8e8e1a
indie cristao,482,8740,#7d970f
indie curitibano,729,11105,#8f8f18
indie dream pop,407,12845,#a18484
indie electronica,826,13521,#878da4
indie electropop,729,13273,#909413
indie emo,586,12870,#b27947
indie emo rock,409,10597,#b27928
indie extremena,533,13867,#bd760d
indie folk,569,6942,#719521
indie folk argentino,808,7882,#649d18
indie folk italiano,680,9698,#809217
indie fuzzpop,461,11988,#a3852f
indie game soundtrack,517,9522,#7494b7
indie garage rock,434,9949,#ad7958
indie hidalguense,667,11080,#88911a
indie hidrocalido,586,12613,#a0833d
indie hip hop,1028,10535,#988d07
indie jazz,860,9089,#828b6d
indie liguria,823,15494,#b48364
indie michoacano,574,12992,#968b2c
indie napoletano,795,10033,#898b29
indie nica,817,13261,#929039
indie nordeste argentino,538,10700,#9d8623
indie paraense,746,12662,#8a912b
indie platense,484,11742,#a28725
indie poblano,508,11656,#a37d40
indie pop,515,10442,#948829
indie pop rap,955,13965,#ad860a
indie pop rock,491,13262,#9c8726
indie poptimism,643,15268,#a88a15
indie psych-pop,440,10108,#908b54
indie psychedelic rock,271,9500,#a37d63
indie punk,288,11301,#c46639
indie quebecois,680,8831,#828f1c
indie queretano,566,13648,#b07d40
indie r&b,797,9415,#8f8414
indie rock,452,10023,#a18039
